textid,textname,full_text
20150302police_against_blacks,В США адвокаты обвинили убитого полицией подростка в неосторожности,"Адвокаты, выступающие от имени города Кливленд (США, штат Огайо), заявили, что 12-летний чернокожий мальчик Тамим Райс, которого застрелили полицийские, сам виноват в своей смерти. Об этом сообщает Associated Press.По мнению юристов, то, что Райс «не проявил должную осторожность, чтобы избежать травм», привело к его ранениям. Кроме того, они считают, что полиция Кливленда не нарушала прав мальчика.Материалы по теме09:04 15 августа 2014Бессмысленный и беспощадныйДаже при чернокожем президенте в США регулярно вспыхивают расовые бунтыОдин из адвокатов семьи погибшего Райса заявил, что стрелять в подростка было необязательно, а «некоторым офицерам нельзя давать право носить форму».Управление шерифа округа Кайахога проводит расследование убийства Райса. Прокурор пообещал, что большое жюри решит, выдвигать ли обвинение ответственным за смерть ребенка полицейским.22 ноября сотрудник правоохранительных органов выстрелил в живот Райсу, державшему в руках пневматический пистолет."
20130603pedagog,В Пермском крае на учителя начальных классов завели дело о педофилии,"В Пермском крае в отношении учителя начальных классов возбуждено уголовное дело о насильственных действиях сексуального характера в отношении малолетних. Об этом 3 июня сообщается на сайте Следственного комитета РФ.Имя подозреваемого не называется, сообщается лишь, что ему 53 года. Также не раскрывается номер школы, в которой он работал, и название населенного пункта, в котором она расположена. Однако подчеркивается, что педагог уже уволен.По версии следствия, мужчина совершал преступления с 2009 года по апрель 2013 года. От его действий пострадали пять девочек в возрасте от девяти до 12 лет.Суд избрал для подозреваемого меру пресечения в виде заключения под стражу."
20130403ptu,В Чите в доме преподавателя техникума нашли арсенал и миллион рублей,"В Чите в доме преподавателя техникума изъяли миллион рублей наличными и оружие. Об этом 3 апреля сообщается на сайте МВД РФ.Обыск в доме 63-летнего преподавателя провели в связи с тем, что его заподозрили во взятке. Читинская ГТРК уточняет, что преподаватель предположительно вымогал деньги у студентов.Полицейские не ожидали обнаружить в шкафах и чемоданах большое количество денег, а также автомат Калашникова, шесть пистолетов (в том числе два кустарного производства) и семь боевых гранат.Все оружие направлено на экспертизу. Решается вопрос о возбуждении нового уголовного дела."
20160708saudi,В Саудовской Аравии арестованы 19 подозреваемых в причастности к терактам,"МВД Саудовской Аравии арестовало 19 подозреваемых в причастности к серии террористических атак, осуществленных в последние дни. Среди них 12 граждан Пакистана и семь саудовцев, передает Al Arabiya.Также власти назвали имя террориста-смертника, взорвавшего себя у мечети Пророка в Медине. Им оказался 26-летний Наер Муслам Хаммад Аль-Ниджаиди. В МВД добавили, что он ранее злоупотреблял наркотиками.4 июля террорист-смертник взорвал себя в городе Медина около мечети Пророка — одной из самых почитаемых святынь ислама. Силовики не позволили ему проникнуть внутрь здания, и это снизило количество жертв — в результате атаки погибли четверо сотрудников правоохранительных органов.Ранее в тот же день два взрыва произошли в городе Эль-Катиф на востоке королевства.Кроме того, в ночь 4 июля был предотвращен теракт у генконсульства США в Джидде. Террорист намеревался подойти как можно ближе к консульству, однако был вовремя замечен охраной на расположенной рядом автостоянке. После того, как силовики окружили смертника, он успел себя подорвать."
20130708daleste,Бразильского музыканта застрелили во время выступления,"В Бразилии фанк-музыканта и исполнителя Даниэля Пеллегрини (Daniel Pellegrine), выступавшего под псевдонимом MC Daleste, смертельно ранили во время его концерта. Он скончался в ночь на воскресенье, 7 июля, сообщает новостной портал Estado.com.В MC Daleste выстрелили в ходе концерта в городе Кампинас, штат Сан-Паулу. По данным Estado.com, пуля попала ему в грудь, а по сведениям MTV.com, в живот. Пеллегрини был доставлен в больницу, однако врачи не смогли его спасти, передает портал CKHiD.com.Очевидцы опубликовали в интернете видеозапись с концерта, на которой запечатлено убийство Пеллегрини. Несмотря на это свидетельство, по словам полицейских, пока подозреваемых задержать не удалось. Мотивы преступника также остаются неизвестными.Исполнителю MC Daleste было 20 лет. Он сочинял музыку в стиле фанк последние четыре года и был популярным у бразильской молодежи. MC Daleste давал около 40 концертов в месяц, что приносило ему 200 тысяч долларов ежемесячно."
20130705guns,В Сиэтле арестовали жителя Невады с запасом краденого оружия,"Полиция арестовала в Сиэтле жителя Невады, заподозренного в угоне пикапа. Как сообщает Los Angeles Times, в автомобиле было найдено краденое оружие.Подозреваемого арестовали еще в среду после того, как полиция получила сведения об угоне машины. При обыске полиция нашла в автомобиле украденные винтовку, дробовик, бронежилет и большое количество бутылок с «коктейлем Молотова».Первый раз подозреваемый привлек внимание полиции во вторник, 2 июня, когда его обнаружили спящим в автомобиле на парковке кампуса Вашингтонского университета. Известно, что он не являлся его студентом. Однако тогда машина еще не числилась среди угнанных, и сотрудники правоохранительных органов не стали задерживать молодого человека.Личность арестованного не раскрывается, передает CNN. По данным следствия, 21-летний молодой человек на угнанном в Монтане пикапе приехал в Сиэтл, штат Вашингтон. В правоохранительных органах заявили, что «понятия не имеют, какие у него были намерения». Дело расследуют полиция Сиэтла и ФБР."
20150906isis,Боевики «Исламского государства» казнили иракскую журналистку и ее отца,"Боевики террористической группировки «Исламское государство» (ИГ) казнили в Мосуле журналистку газеты «Ихлас ас-Саати» и ее отца. Об этом сообщило в воскресенье, 6 сентября, РИА Новости со ссылкой на телеканал «Ас-Сумария».Журналистка отдела новостей и ее отец, работавший распространителем той же газеты, были захвачены боевиками в феврале. Предположительно, им вменялось в вину распространение пропаганды против ИГ.25 августа сирийское агентство ARA News сообщило, что террористы из ИГ казнили в Мосуле журналистку Saladin TV Адель Саэф (Adel Saegh). Ее расстреляли на площади Кассима Саваса. Неделей ранее были казнены журналист Самах Мухаммад (Sabah Muhammad) и фотограф Валид Абдулла (Waleed Abdullah), работавшие на телеканале Al-Musiliyah в Мосуле.Материалы по теме08:00 18 мая 2015Проблемы в халифатеКак коррупция и нехватка кадров разъедают «Исламское государство» изнутриКроме того, агентство со ссылкой на иракского чиновника уточнило, что «Исламское государство» пригрозило смертью всем журналистам, которые будут освещать события, происходящие на территориях, контролируемых ИГ. Соответствующее решение было принято на суде шариата в августе, после чего боевики взяли в плен десятки журналистов, которые не занимались пропагандой халифата.«Исламское государство» — террористическая группировка, летом 2014 года провозгласившая создание халифата на захваченных территориях Сирии и Ирака.Против ИГ борются войска, лояльные Дамаску, сирийские повстанцы, иракская армия, шиитские ополченцы, курдские отряды самообороны и возглавляемая США коалиция, которая наносит воздушные удары. Деятельность ИГ запрещена на территории России."
20130401univer,Студенты Северо-Кавказского федерального университета устроили массовую драку,"В Ставрополе произошла массовая драка между студентами Северо-Кавказского федерального университета. Об этом 1 апреля сообщает РИА Новости.В конфликте, произошедшем вечером 31 марта около Дворца культуры и спорта профсоюзов, участвовали до сорока человек. По информации агентства «Интерфакс», среди них уроженцы Ингушетии и Карачаево-Черкесии. Один молодой человек стрелял из травматического пистолета.Ранения в ходе драки получили три человека. Все они были доставлены в больницу, но врачи оставили в стационаре только одного. В полицию доставили 23 человека, на 17 из них составили административные протоколы.Возбуждено уголовное дело по 213-й статье УК РФ (хулиганство). Университет проводит в связи с инцидентом внутреннюю проверку. По предварительным данным, ссора между двумя группами студентов произошла на бытовой почве."
20130604jury,Дело об убийстве Политковской рассмотрят присяжные,"Мосгорсуд удовлетворил ходатайство о рассмотрении дела об убийстве Анны Политковской с участием присяжных. Об этом 4 июня сообщает РИА Новости.Отбор коллегии присяжных состоится 20 июня.В то же время суд отклонил ходатайство защиты о возвращении дела в прокуратуру. Адвокаты утверждали, что следователи изъяли из дела ряд доказательств и в целом сильно изменили материалы по сравнению с предыдущим рассмотрением (которое завершилось оправдательным вердиктом, впоследствии отмененным Верховным судом РФ).На скамье подсудимых находятся бывший милиционер Сергей Хаджикурбанов, трое братьев Махмудовых и их дядя Лом-Али Гайтукаев. Еще один фигурант дела, бывший милиционер Дмитрий Павлюченков, ранее пошел на сделку с со следствием. Его судили отдельно, он получил 11 лет колонии.Политковская была застрелена в подъезде своего дома в октябре 2006 года. По версии следствия, выстрел произвел Рустам Махмудов. Его братья Ибрагим и Джабраил оказывали ему различную помощь. Гайтукаев, Павлюченков и Хаджикурбанов выполняли организаторские роли.Личности заказчиков убийства формально не установлены, хотя в СМИ появлялась информация о том, что заказать преступление могли представитель чеченских сепаратистов Ахмед Закаев или предприниматель Борис Березовский."
20130905telek,В Москве завели дело на экстрасенсов из телешоу,"В Москве возбуждено уголовное дело по факту мошенничества, связанного с телешоу на одном из центральных каналов. Об этом 5 сентября сообщается на сайте Генпрокуратуры РФ.Установлено, что в начале 2013 года 75-летняя жительница Ярославля позвонила по телефону, указанному в телепередаче про экстрасенсов. Она заявила, что хотела бы узнать судьбу своей тяжело больной сестры. После этого ей стали регулярно звонить люди, утверждающие, что на ее семью наложено мощное проклятие. Они говорили, что если не оплатить определенные обряды, родные пенсионерки будут умирать один за другим.Потерпевшая постепенно перечислила на счета мошенников 610 тысяч рублей. Взамен она получила только один талисман. Когда у женщины кончились деньги, она обратилась в правоохранительные органы.УМВД по Ярославской области передало материалы доследственной проверки в ОМВД московского района Солнцево. Однако полицейские вернули материалы обратно. Только после вмешательства прокуратур Москвы и Ярославской области было возбуждено дело по 159-й статье УК РФ (мошенничество). В адрес ОМВД Солнцево внесли представление в связи с необоснованным возвратом материалов."
