,txt_id,text,tags
0,20140108blast,"В Ессентуках в пригородном электропоезде произошел взрыв . Об этом сообщает агентство « Интерфакс » со ссылкой на источник , близкий к правоохранительным органам Ставропольского края . Официального подтверждения этой информации не поступало . Сведений о пострадавших в результате взрыва нет . ",O LOC O O O O CRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O CRI SUF O
1,20130607lexus,"На Трубной улице в Москве произошла перестрелка между водителями . Об этом 7 июня сообщает агентство ИТАР-ТАСС на своей странице ВКонтакте . Причиной конфликта стало небольшое ДТП с участием « Лексуса » с дагестанскими номерами и « Мерседеса » с белорусскими номерами . После аварии водитель « Лексуса » открыл стрельбу по водителю « Мерседеса » . Пострадал ли кто-нибудь , пока не уточняется . Водитель « Лексуса » задержан . ",O LOC LOC O LOC O CRI O OFF O O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OFF O OFF O O O O SUF O SUF O O O O O O O O O O OFF O OFF O O O
2,20130607pray,"Во время рейда в молельной комнате в московском районе Печатники задержаны около 300 человек . Об этом 7 июня сообщает агентство « Интерфакс » . Задержанные , 170 из которых являются иностранцами , доставлены в отделения полиции для разбирательства . В ходе обыска в молельной комнате была изъята литература , которую проверят на экстремизм . Молельная была оборудована в нежилом доме . Кто является организатором учреждения , не уточняется . ",O O O O O O O LOC LOC LOC O O OFF OFF O O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O CRI O O O O O O O O O O O O O O O O
3,20130805veernaya,"В Москве неизвестные злоумышленники отобрали у бизнесмена примерно 20 миллионов рублей . Об этом 5 августа сообщает агентство ИТАР-ТАСС . Двое преступников напали на мужчину около дома 22 по Веерной улице . Угрожая пистолетом , они отняли у бизнесмена сумку с деньгами и скрылись на автомобиле Volvo . По информации издания Life News , машина была белой . Для розыска преступников в Москве введен план « Перехват » . По информации открытых источников , дом 22 по Веерной улице является жилым . ",O LOC OFF OFF CRI O SUF O O O O O O O DAT DAT O O O O O O O O O O LOC LOC O LOC LOC O O O O O CRI O O O O O O O O O O O O O O O O O O O O O O O O O LOC O O O O O O O O O O O LOC LOC O LOC LOC O O O
4,20131105mall,"Преступник открыл огонь в торговом центре Westfield Garden State Plaza в американском городе Парамус , штат Нью-Джерси , сообщает телеканал CNN в понедельник , 4 ноября . По свидетельству очевидцев , около 21:30 по местному времени в здании торгового центра прозвучали как минимум семь выстрелов . На место происшествия прибыли спецподразделения полиции . На парковке около Westfield Garden State Plaza , сообщили очевидцы , находятся не менее 20 полицейских автомобилей . Торговый центр оцеплен . ",OFF CRI CRI O LOC LOC LOC LOC LOC LOC O LOC LOC LOC O LOC LOC O O O O O DAT O DAT DAT O O O O O O DAT O O O O O LOC LOC O O O O O O O O O O O O O O O O LOC LOC LOC LOC O O O O O O O O O O O LOC LOC O O
5,20130507run,"Из « Матросской тишины » ( московский следственный изолятор № 1 ) сбежал заключенный . Об этом утром во вторник , 7 мая , сообщает РИА Новости со ссылкой на пресс-службу ГУ МВД России по столице . По словам представителя управления , сбежавший мужчина обвиняется в убийстве и незаконном обороте оружия . На поиски беглеца ориентировали весь состав московской полиции . Life news сообщает , что сбежавший — 32-летний уроженец Сочи Олег Топалов . Последний раз о побеге из « Матросской тишины » СМИ сообщали в августе 2009 года . ",O O LOC LOC O O LOC LOC LOC LOC LOC O CRI OFF O O O O O DAT O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OFF O O O O OFF OFF O O O O O O O LOC LOC O O O O O O O O
6,20141002dagestan,"Трое боевиков ликвидированы в ходе спецоперации в Дагестане . Об этом сообщает в четверг , 2 октября ,  « Интерфакс » со ссылкой на источник в правоохранительных органах республики . Спецоперация проводилась в поселке Временный Унцукульского района . В ходе операции ранение получил боец ОМОНа . Ликвидированные боевики , по данным ИТАР-ТАСС , укрывались в укрепленном подвале частного дома . Тело одного из убитых уже извлечено и отправлено на опознание .  « Двое других под завалами дома . Разбор завалов отложен до утра » , — рассказал источник агентства . ",OFF OFF O O O O O LOC O O O O O DAT O DAT DAT O O O O O O O O O O O O O O O O LOC LOC LOC LOC O O O O O O O O O O OFF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
7,20140103kill,"В подмосковном городе Железнодорожный убит инспектор ГИБДД . Об этом 3 января сообщает агентство ИТАР-ТАСС . Коллеги погибшего задержали подозреваемого . В ближайшее время на него будет заведено уголовное дело . Утром 3 января в городе столкнулись автомобили « Жигули » и BMW . На место аварии прибыли полицейские . Водитель « Жигулей » напал на одного из полицейских и несколько раз ударил его . Потерпевший скончался на месте . Телеканал НТВ уточняет , что водитель « Жигулей » также швырнул в полицейскую машину гранату . Взорвалась ли она , не сообщается . ",O LOC LOC LOC CRI OFF OFF O O O DAT DAT O O O O O O O O O O O O O O O O O O O DAT DAT DAT O O O O O O O O O O O O O O O O OFF O OFF O CRI O O O O O O O O O O O O O O O O O O O O O O O O O CRI O O O CRI O O O O O O O O
8,20130402shot,"В Москве в ходе дорожного конфликта убит человек . Об этом 2 апреля сообщает РИА Новости со ссылкой на источник в правоохранительных органах . По словам собеседника агентства , авария произошла 1 апреля у торгового центра « Новочеркизовский » в Проектируемом проезде 890 . Гражданин Таджикистана на « Форде » врезался в припаркованную « Киа » . После столкновения из « Киа » вышел неизвестный и несколько раз выстрелил в сторону « Форда » . В результате получил ранение пассажир автомобиля . Позднее он скончался в больнице . Стрелок скрылся с места преступления , его разыскивают . ",O LOC O O O O O SUF O O O DAT DAT O O O O O O O O O O O O O O O O O O DAT DAT O LOC LOC O LOC O O LOC LOC LOC O O O O O O O O O O O O O O O O O O O O O OFF O O O CRI O O O O O O O O O O SUF SUF O O O O O O O OFF O O O O O O O O
9,20140904wearesorry,"Сетевое издание Lenta . ru разместило фотографию Рязанова А . Н . в статье о Федоре Хорошилове под заголовком « Задержанный за кредиты на 776 миллионов оказался топ-менеджером "" Сибнефти "" » , опубликованной 15 ноября 2013 года на интернет-странице с адресом http://lenta . ru/news/2013/11/15/horoshilov/ . Публикация фотографии Рязанова А . Н . в вышеуказанной статье была произведена ошибочно . Редакция Lenta . ru подтверждает , что изложенный в статье сведения никакого отношения к Рязанову А . Н . не имеют . Редакция Lenta . ru приносит свои извинения за ошибочное размещение фотографии . ",O O OFF O OFF O O SUF SUF O SUF O O O O O O O O O O O O O O O O O O O O O O O DAT DAT DAT DAT O O O O O O O O CRI O SUF SUF O SUF O O O O O O O O O OFF O OFF O O O O O O O O O O SUF SUF O SUF O O O O O OFF O OFF O O O O O O O O 
